Dijkstra;Type:Full;Vertices:10;16;;;;;;;;;;;;;;;;;;;;;;;Дейкстра;Флойд-Уоршелл;Беллманн-Форд;А-star;;
Dijkstra;Type:Semi;Vertices:560;4365;;;;;;;;;;;;;;;;;;;;;;Vertices:610;4976;4000470;926357;3265;;
Dijkstra;Type:Semi;Vertices:610;4976;;;;;;;;;;;;;;;;;;;;;;Vertices:660;5656;5055130;1170940;3559;;
Dijkstra;Type:Semi;Vertices:660;5656;;;;;;;;;;;;;;;;;;;;;;Vertices:710;6393;6299030;1447790;4257;;
Dijkstra;Type:Semi;Vertices:710;6393;;;;;;;;;;;;;;;;;;;;;;Vertices:760;7181;7731030;1773020;4819;;
Dijkstra;Type:Semi;Vertices:760;7181;;;;;;;;;;;;;;;;;;;;;;Vertices:810;8046;9361600;2153230;5238;;
Dijkstra;Type:Semi;Vertices:810;8046;;;;;;;;;;;;;;;;;;;;;;Vertices:860;8878;11217900;2568350;5996;;
Dijkstra;Type:Semi;Vertices:860;8878;;;;;;;;;;;;;;;;;;;;;;Vertices:910;9785;13335400;3063190;6452;;
Dijkstra;Type:Semi;Vertices:910;9785;;;;;;;;;;;;;;;;;;;;;;Vertices:960;10799;15619500;3581270;7254;;
Dijkstra;Type:Semi;Vertices:960;10799;;;;;;;;;;;;;;;;;;;;;;Vertices:1010;11734;18231900;4197480;7952;;
Dijkstra;Type:Semi;Vertices:1010;11734;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:10;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:60;3911;;;;;;;;;;;Флойд-Уоршелл при графе с плотностью 0.4;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:110;25356;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:160;74160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:210;165430;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:260;313869;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:310;534641;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:360;826513;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:410;1227490;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:460;1771650;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:510;2400040;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:560;3096400;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:610;4000470;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:660;5055130;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:710;6299030;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:760;7731030;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:810;9361600;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:860;11217900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:910;13335400;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:960;15619500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floyd-Warshall;Type:Semi;Vertices:1010;18231900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:10;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:60;976;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:110;5534;;;;;;;;;;;Беллман-Форд при графе с плотностью 0.4;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:160;16808;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:210;37496;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:260;72863;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:310;120896;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:360;190350;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:410;280882;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:460;399547;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:510;540447;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:560;716523;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford-Bellman;Type:Semi;Vertices:610;926357;;;;;;;;;;;;;;;;;;;;;;;;;;;;
